day,feature,model,requests,usd
21,chronic_care_referral,gpt-4o-mini,499,0.0302
21,chronic_care_referral,gpt-4o,167,0.2501
21,insurance_routing,gpt-4o-mini,499,0.0306
21,insurance_routing,gpt-4o,167,0.2509
22,pediatric_triage,gpt-4o-mini,499,0.029
22,pediatric_triage,gpt-4o,167,0.2534
22,chronic_care_referral,gpt-4o-mini,499,0.0301
22,chronic_care_referral,gpt-4o,167,0.2518
22,insurance_routing,gpt-4o-mini,499,0.03
22,insurance_routing,gpt-4o,167,0.2509
23,pediatric_triage,gpt-4o-mini,499,0.029
23,pediatric_triage,gpt-4o,167,0.2509
23,chronic_care_referral,gpt-4o-mini,499,0.0305
23,chronic_care_referral,gpt-4o,167,0.248
23,insurance_routing,gpt-4o-mini,499,0.0301
23,insurance_routing,gpt-4o,167,0.2447
24,pediatric_triage,gpt-4o-mini,499,0.0296
24,pediatric_triage,gpt-4o,167,0.2497
24,chronic_care_referral,gpt-4o-mini,499,0.0309
24,chronic_care_referral,gpt-4o,167,0.2472
24,insurance_routing,gpt-4o-mini,499,0.0294
24,insurance_routing,gpt-4o,167,0.2492
25,pediatric_triage,gpt-4o-mini,499,0.0309
25,pediatric_triage,gpt-4o,167,0.2543
25,chronic_care_referral,gpt-4o-mini,499,0.0289
25,chronic_care_referral,gpt-4o,167,0.2472
25,insurance_routing,gpt-4o-mini,499,0.0306
25,insurance_routing,gpt-4o,167,0.2451
26,pediatric_triage,gpt-4o-mini,499,0.0306
26,pediatric_triage,gpt-4o,167,0.2476
26,chronic_care_referral,gpt-4o-mini,499,0.0308
26,chronic_care_referral,gpt-4o,167,0.248
26,insurance_routing,gpt-4o-mini,499,0.0298
26,insurance_routing,gpt-4o,167,0.2522
27,pediatric_triage,gpt-4o-mini,499,0.0291
27,pediatric_triage,gpt-4o,167,0.2509
27,chronic_care_referral,gpt-4o-mini,499,0.0299
27,chronic_care_referral,gpt-4o,167,0.2534
27,insurance_routing,gpt-4o-mini,499,0.0309
27,insurance_routing,gpt-4o,167,0.2522
28,pediatric_triage,gpt-4o-mini,499,0.0297
28,pediatric_triage,gpt-4o,167,0.2492
28,chronic_care_referral,gpt-4o-mini,499,0.0297
28,chronic_care_referral,gpt-4o,167,0.2538
28,insurance_routing,gpt-4o-mini,499,0.0295
28,insurance_routing,gpt-4o,167,0.2463
29,pediatric_triage,gpt-4o-mini,499,0.0296
29,pediatric_triage,gpt-4o,167,0.2447
29,chronic_care_referral,gpt-4o-mini,499,0.029
29,chronic_care_referral,gpt-4o,167,0.2455
29,insurance_routing,gpt-4o-mini,499,0.0305
29,insurance_routing,gpt-4o,167,0.253
30,pediatric_triage,gpt-4o-mini,499,0.0303
30,pediatric_triage,gpt-4o,167,0.2497
30,chronic_care_referral,gpt-4o-mini,499,0.0304
30,chronic_care_referral,gpt-4o,167,0.2463
30,insurance_routing,gpt-4o-mini,499,0.0308
30,insurance_routing,gpt-4o,167,0.2505
