question,input_length,rouge_l,latency_ms,token_count
My infant has a sudden rash and high fever - what are my triage options?,12,0.4211,960.0,215
What documents do I need for a standard clinical lab screening?,12,0.3688,818.0,268
What documents do I need for a standard clinical lab screening?,9,0.4618,836.0,224
My infant has a sudden rash and high fever - what are my triage options?,8,0.3606,736.0,195
Has the new MoH policy changed our clinical referral rules?,14,0.3512,864.0,237
How long does it take to process outpatient laboratory results?,8,0.3465,698.0,220
My infant has a sudden rash and high fever - what are my triage options?,8,0.5198,1091.0,162
Can I book an inpatient clinical appointment online?,14,0.3705,587.0,271
How long does it take to process outpatient laboratory results?,14,0.3992,739.0,200
How long does it take to process outpatient laboratory results?,8,0.4733,816.0,231
What documents do I need for a standard clinical lab screening?,10,0.3363,751.0,233
What documents do I need for a standard clinical lab screening?,9,0.434,977.0,291
My infant has a sudden rash and high fever - what are my triage options?,10,0.395,682.0,166
How long does it take to process outpatient laboratory results?,8,0.3837,1013.0,196
Has the new MoH policy changed our clinical referral rules?,11,0.3749,893.0,272
My infant has a sudden rash and high fever - what are my triage options?,10,0.4122,796.0,299
Has the new MoH policy changed our clinical referral rules?,9,0.3973,677.0,174
Has the new MoH policy changed our clinical referral rules?,14,0.4286,958.0,277
Has the new MoH policy changed our clinical referral rules?,9,0.4343,931.0,284
What documents do I need for a standard clinical lab screening?,13,0.3995,911.0,283
What documents do I need for a standard clinical lab screening?,13,0.4292,678.0,262
Has the new MoH policy changed our clinical referral rules?,9,0.5025,972.0,284
What documents do I need for a standard clinical lab screening?,13,0.4931,689.0,177
How long does it take to process outpatient laboratory results?,10,0.4522,761.0,225
Can I book an inpatient clinical appointment online?,11,0.4369,941.0,171
How long does it take to process outpatient laboratory results?,8,0.4522,595.0,194
Can I book an inpatient clinical appointment online?,14,0.3591,712.0,254
Has the new MoH policy changed our clinical referral rules?,13,0.4658,667.0,274
What documents do I need for a standard clinical lab screening?,11,0.4444,752.0,168
Has the new MoH policy changed our clinical referral rules?,10,0.4701,854.0,197
Has the new MoH policy changed our clinical referral rules?,11,0.3852,778.0,193
Can I book an inpatient clinical appointment online?,11,0.4288,692.0,259
What documents do I need for a standard clinical lab screening?,13,0.5459,988.0,213
What documents do I need for a standard clinical lab screening?,14,0.4056,654.0,245
My infant has a sudden rash and high fever - what are my triage options?,13,0.4803,727.0,152
How long does it take to process outpatient laboratory results?,13,0.3126,784.0,265
My infant has a sudden rash and high fever - what are my triage options?,14,0.5306,747.0,281
What documents do I need for a standard clinical lab screening?,10,0.4762,791.0,295
Has the new MoH policy changed our clinical referral rules?,9,0.5265,671.0,218
Has the new MoH policy changed our clinical referral rules?,13,0.5118,1091.0,283
What documents do I need for a standard clinical lab screening?,11,0.4371,973.0,239
How long does it take to process outpatient laboratory results?,10,0.4077,878.0,240
What documents do I need for a standard clinical lab screening?,9,0.4133,663.0,192
Can I book an inpatient clinical appointment online?,8,0.4067,823.0,275
What documents do I need for a standard clinical lab screening?,11,0.4706,816.0,239
Has the new MoH policy changed our clinical referral rules?,10,0.4227,800.0,269
Has the new MoH policy changed our clinical referral rules?,11,0.4151,1009.0,156
My infant has a sudden rash and high fever - what are my triage options?,11,0.4393,724.0,151
How long does it take to process outpatient laboratory results?,14,0.3644,919.0,229
What documents do I need for a standard clinical lab screening?,8,0.444,626.0,276
Has the new MoH policy changed our clinical referral rules?,13,0.3645,753.0,286
Can I book an inpatient clinical appointment online?,13,0.4226,771.0,261
What documents do I need for a standard clinical lab screening?,13,0.4276,947.0,230
Has the new MoH policy changed our clinical referral rules?,11,0.4082,818.0,187
How long does it take to process outpatient laboratory results?,8,0.3322,833.0,171
My infant has a sudden rash and high fever - what are my triage options?,9,0.3433,886.0,261
How long does it take to process outpatient laboratory results?,11,0.3674,767.0,207
My infant has a sudden rash and high fever - what are my triage options?,14,0.4491,973.0,266
How long does it take to process outpatient laboratory results?,11,0.5072,844.0,230
How long does it take to process outpatient laboratory results?,13,0.4052,807.0,160
How long does it take to process outpatient laboratory results?,9,0.3611,878.0,260
Can I book an inpatient clinical appointment online?,14,0.4235,917.0,246
What documents do I need for a standard clinical lab screening?,12,0.4565,643.0,259
My infant has a sudden rash and high fever - what are my triage options?,8,0.3614,748.0,211
Can I book an inpatient clinical appointment online?,11,0.3851,699.0,268
What documents do I need for a standard clinical lab screening?,9,0.3592,733.0,228
My infant has a sudden rash and high fever - what are my triage options?,9,0.4778,861.0,175
Can I book an inpatient clinical appointment online?,11,0.4352,807.0,288
My infant has a sudden rash and high fever - what are my triage options?,11,0.3168,741.0,224
Has the new MoH policy changed our clinical referral rules?,8,0.3409,948.0,223
My infant has a sudden rash and high fever - what are my triage options?,13,0.3915,881.0,213
My infant has a sudden rash and high fever - what are my triage options?,10,0.4316,823.0,245
How long does it take to process outpatient laboratory results?,13,0.4126,785.0,204
Has the new MoH policy changed our clinical referral rules?,9,0.47,694.0,261
How long does it take to process outpatient laboratory results?,8,0.3828,718.0,260
How long does it take to process outpatient laboratory results?,13,0.4622,801.0,248
Has the new MoH policy changed our clinical referral rules?,8,0.4621,855.0,258
How long does it take to process outpatient laboratory results?,13,0.4097,600.0,222
Can I book an inpatient clinical appointment online?,8,0.4254,931.0,253
My infant has a sudden rash and high fever - what are my triage options?,13,0.3574,640.0,197
Can I book an inpatient clinical appointment online?,8,0.4462,828.0,195
Can I book an inpatient clinical appointment online?,8,0.3045,805.0,253
How long does it take to process outpatient laboratory results?,13,0.4551,814.0,276
My infant has a sudden rash and high fever - what are my triage options?,8,0.4315,853.0,187
How long does it take to process outpatient laboratory results?,11,0.4298,882.0,171
What documents do I need for a standard clinical lab screening?,14,0.4461,773.0,150
What documents do I need for a standard clinical lab screening?,9,0.3203,670.0,157
Has the new MoH policy changed our clinical referral rules?,9,0.3033,732.0,251
Has the new MoH policy changed our clinical referral rules?,14,0.4299,909.0,290
Has the new MoH policy changed our clinical referral rules?,13,0.4165,935.0,232
My infant has a sudden rash and high fever - what are my triage options?,8,0.3903,652.0,278
What documents do I need for a standard clinical lab screening?,9,0.4021,880.0,228
Has the new MoH policy changed our clinical referral rules?,13,0.4396,696.0,242
What documents do I need for a standard clinical lab screening?,8,0.4134,617.0,212
What documents do I need for a standard clinical lab screening?,10,0.3933,693.0,163
Can I book an inpatient clinical appointment online?,11,0.4414,781.0,281
Can I book an inpatient clinical appointment online?,11,0.486,766.0,171
Can I book an inpatient clinical appointment online?,12,0.4734,767.0,216
Has the new MoH policy changed our clinical referral rules?,9,0.4134,835.0,172
Has the new MoH policy changed our clinical referral rules?,11,0.5238,807.0,293
How long does it take to process outpatient laboratory results?,8,0.3777,833.0,196
Can I book an inpatient clinical appointment online?,12,0.4357,717.0,276
How long does it take to process outpatient laboratory results?,14,0.3641,754.0,238
How long does it take to process outpatient laboratory results?,10,0.5169,911.0,164
Can I book an inpatient clinical appointment online?,10,0.3996,772.0,235
Can I book an inpatient clinical appointment online?,12,0.451,766.0,201
Can I book an inpatient clinical appointment online?,9,0.4203,1060.0,215
Has the new MoH policy changed our clinical referral rules?,11,0.4917,809.0,169
Has the new MoH policy changed our clinical referral rules?,13,0.4115,722.0,226
How long does it take to process outpatient laboratory results?,10,0.3774,867.0,281
Has the new MoH policy changed our clinical referral rules?,13,0.4057,845.0,158
Can I book an inpatient clinical appointment online?,9,0.4668,617.0,286
What documents do I need for a standard clinical lab screening?,11,0.3452,936.0,274
My infant has a sudden rash and high fever - what are my triage options?,9,0.384,650.0,226
How long does it take to process outpatient laboratory results?,11,0.541,843.0,294
Can I book an inpatient clinical appointment online?,10,0.4433,644.0,263
How long does it take to process outpatient laboratory results?,14,0.4157,879.0,246
My infant has a sudden rash and high fever - what are my triage options?,11,0.4534,731.0,213
Has the new MoH policy changed our clinical referral rules?,14,0.3715,711.0,299
Has the new MoH policy changed our clinical referral rules?,14,0.4104,940.0,277
How long does it take to process outpatient laboratory results?,10,0.4266,826.0,162
Can I book an inpatient clinical appointment online?,11,0.4019,706.0,186
Has the new MoH policy changed our clinical referral rules?,14,0.3417,864.0,156
What documents do I need for a standard clinical lab screening?,11,0.4774,561.0,152
What documents do I need for a standard clinical lab screening?,9,0.3787,825.0,186
Can I book an inpatient clinical appointment online?,12,0.4073,784.0,242
What documents do I need for a standard clinical lab screening?,13,0.4553,866.0,205
Has the new MoH policy changed our clinical referral rules?,13,0.4478,830.0,254
Has the new MoH policy changed our clinical referral rules?,10,0.4046,725.0,226
What documents do I need for a standard clinical lab screening?,13,0.3578,711.0,153
How long does it take to process outpatient laboratory results?,14,0.4226,723.0,288
What documents do I need for a standard clinical lab screening?,10,0.457,784.0,241
Has the new MoH policy changed our clinical referral rules?,12,0.4294,655.0,217
Can I book an inpatient clinical appointment online?,8,0.4331,710.0,229
My infant has a sudden rash and high fever - what are my triage options?,12,0.4868,925.0,298
Has the new MoH policy changed our clinical referral rules?,13,0.4382,559.0,192
Has the new MoH policy changed our clinical referral rules?,12,0.3664,871.0,268
Can I book an inpatient clinical appointment online?,13,0.3612,716.0,295
My infant has a sudden rash and high fever - what are my triage options?,10,0.3589,825.0,296
Has the new MoH policy changed our clinical referral rules?,13,0.3374,672.0,226
My infant has a sudden rash and high fever - what are my triage options?,14,0.4606,824.0,223
How long does it take to process outpatient laboratory results?,14,0.4458,742.0,248
What documents do I need for a standard clinical lab screening?,9,0.3882,854.0,233
Can I book an inpatient clinical appointment online?,13,0.4424,631.0,293
What documents do I need for a standard clinical lab screening?,10,0.4318,658.0,166
My infant has a sudden rash and high fever - what are my triage options?,13,0.3797,672.0,209
Has the new MoH policy changed our clinical referral rules?,10,0.3893,945.0,157
How long does it take to process outpatient laboratory results?,14,0.4216,827.0,189
My infant has a sudden rash and high fever - what are my triage options?,11,0.3933,759.0,154
My infant has a sudden rash and high fever - what are my triage options?,12,0.368,559.0,229
How long does it take to process outpatient laboratory results?,13,0.3997,606.0,278
Can I book an inpatient clinical appointment online?,10,0.4057,781.0,280
What documents do I need for a standard clinical lab screening?,12,0.4462,651.0,162
Can I book an inpatient clinical appointment online?,13,0.5226,817.0,267
Can I book an inpatient clinical appointment online?,11,0.4508,627.0,170
What documents do I need for a standard clinical lab screening?,10,0.4005,985.0,201
What documents do I need for a standard clinical lab screening?,8,0.3648,859.0,205
Can I book an inpatient clinical appointment online?,8,0.3765,818.0,282
How long does it take to process outpatient laboratory results?,11,0.3354,798.0,213
Can I book an inpatient clinical appointment online?,11,0.4029,792.0,208
How long does it take to process outpatient laboratory results?,11,0.4441,748.0,199
Has the new MoH policy changed our clinical referral rules?,13,0.4592,827.0,153
How long does it take to process outpatient laboratory results?,13,0.4618,835.0,186
How long does it take to process outpatient laboratory results?,14,0.4393,842.0,187
My infant has a sudden rash and high fever - what are my triage options?,12,0.4608,863.0,268
Has the new MoH policy changed our clinical referral rules?,14,0.3939,756.0,221
What documents do I need for a standard clinical lab screening?,9,0.4949,754.0,234
