question,input_length,rouge_l,latency_ms,token_count
Can I book an inpatient clinical appointment online?,14,0.4475,1033.0,301
Can I book an inpatient clinical appointment online?,12,0.3486,718.0,164
How long does it take to process outpatient laboratory results?,15,0.3439,767.0,174
Can I book an inpatient clinical appointment online?,9,0.4049,748.0,187
How long does it take to process outpatient laboratory results?,10,0.366,1071.0,214
How long does it take to process outpatient laboratory results?,10,0.4543,766.0,280
Has the new MoH policy changed our clinical referral rules?,8,0.2774,668.0,300
What documents do I need for a standard clinical lab screening?,8,0.2975,689.0,190
Has the new MoH policy changed our clinical referral rules?,15,0.4745,865.0,273
What documents do I need for a standard clinical lab screening?,15,0.365,878.0,169
How long does it take to process outpatient laboratory results?,11,0.438,882.0,303
Has the new MoH policy changed our clinical referral rules?,9,0.3539,690.0,240
Can I book an inpatient clinical appointment online?,10,0.4143,856.0,306
My infant has a sudden rash and high fever - what are my triage options?,12,0.4113,883.0,192
What documents do I need for a standard clinical lab screening?,15,0.4738,710.0,175
Can I book an inpatient clinical appointment online?,10,0.3835,935.0,280
My infant has a sudden rash and high fever - what are my triage options?,11,0.3196,801.0,299
My infant has a sudden rash and high fever - what are my triage options?,10,0.4584,987.0,217
Can I book an inpatient clinical appointment online?,10,0.3737,751.0,259
Has the new MoH policy changed our clinical referral rules?,10,0.4081,1011.0,206
What documents do I need for a standard clinical lab screening?,12,0.4149,908.0,269
My infant has a sudden rash and high fever - what are my triage options?,12,0.4075,807.0,239
Has the new MoH policy changed our clinical referral rules?,15,0.4425,885.0,300
Has the new MoH policy changed our clinical referral rules?,8,0.4825,779.0,175
Has the new MoH policy changed our clinical referral rules?,15,0.4112,754.0,247
Has the new MoH policy changed our clinical referral rules?,13,0.4282,796.0,210
My infant has a sudden rash and high fever - what are my triage options?,9,0.3093,908.0,288
Can I book an inpatient clinical appointment online?,8,0.4225,674.0,292
Has the new MoH policy changed our clinical referral rules?,15,0.4512,839.0,216
My infant has a sudden rash and high fever - what are my triage options?,9,0.3903,586.0,192
Can I book an inpatient clinical appointment online?,9,0.3312,747.0,305
Has the new MoH policy changed our clinical referral rules?,9,0.3617,826.0,247
How long does it take to process outpatient laboratory results?,8,0.4407,903.0,175
How long does it take to process outpatient laboratory results?,12,0.286,710.0,297
Can I book an inpatient clinical appointment online?,15,0.3926,690.0,215
Has the new MoH policy changed our clinical referral rules?,14,0.3762,864.0,266
How long does it take to process outpatient laboratory results?,13,0.3999,861.0,292
Can I book an inpatient clinical appointment online?,11,0.4695,736.0,254
My infant has a sudden rash and high fever - what are my triage options?,8,0.3319,845.0,216
Can I book an inpatient clinical appointment online?,11,0.4246,645.0,227
What documents do I need for a standard clinical lab screening?,12,0.3161,702.0,188
Can I book an inpatient clinical appointment online?,15,0.4235,865.0,222
Has the new MoH policy changed our clinical referral rules?,9,0.4429,1118.0,172
Has the new MoH policy changed our clinical referral rules?,13,0.3701,867.0,215
What documents do I need for a standard clinical lab screening?,9,0.3584,1074.0,240
My infant has a sudden rash and high fever - what are my triage options?,8,0.3734,921.0,238
Has the new MoH policy changed our clinical referral rules?,11,0.4381,678.0,166
Has the new MoH policy changed our clinical referral rules?,8,0.4461,1030.0,301
What documents do I need for a standard clinical lab screening?,13,0.3846,775.0,240
My infant has a sudden rash and high fever - what are my triage options?,11,0.3911,921.0,185
Has the new MoH policy changed our clinical referral rules?,10,0.391,861.0,206
What documents do I need for a standard clinical lab screening?,15,0.4764,957.0,179
My infant has a sudden rash and high fever - what are my triage options?,12,0.4515,865.0,285
How long does it take to process outpatient laboratory results?,15,0.4088,860.0,205
Can I book an inpatient clinical appointment online?,11,0.4246,982.0,242
