question,input_length,rouge_l,latency_ms,token_count
How long does it take to process outpatient laboratory results?,10,0.4104,830.0,242
What documents do I need for a standard clinical lab screening?,11,0.4183,683.0,185
Can I book an inpatient clinical appointment online?,8,0.4771,875.0,276
What documents do I need for a standard clinical lab screening?,11,0.4596,709.0,162
What documents do I need for a standard clinical lab screening?,11,0.4901,660.0,189
Can I book an inpatient clinical appointment online?,8,0.4493,1019.0,190
Can I book an inpatient clinical appointment online?,8,0.3705,743.0,258
Can I book an inpatient clinical appointment online?,8,0.425,750.0,166
How long does it take to process outpatient laboratory results?,10,0.3425,807.0,247
Can I book an inpatient clinical appointment online?,8,0.3669,847.0,269
Can I book an inpatient clinical appointment online?,8,0.374,955.0,214
Can I book an inpatient clinical appointment online?,8,0.3808,768.0,152
Can I book an inpatient clinical appointment online?,8,0.4607,677.0,179
Can I book an inpatient clinical appointment online?,8,0.4314,931.0,287
How long does it take to process outpatient laboratory results?,10,0.3396,818.0,237
What documents do I need for a standard clinical lab screening?,11,0.433,878.0,225
How long does it take to process outpatient laboratory results?,10,0.3582,668.0,190
How long does it take to process outpatient laboratory results?,10,0.4461,830.0,150
Can I book an inpatient clinical appointment online?,8,0.4325,835.0,217
Can I book an inpatient clinical appointment online?,8,0.386,823.0,195
Can I book an inpatient clinical appointment online?,8,0.4347,729.0,177
Can I book an inpatient clinical appointment online?,8,0.5133,847.0,226
Can I book an inpatient clinical appointment online?,8,0.3604,866.0,279
Can I book an inpatient clinical appointment online?,8,0.3713,879.0,200
What documents do I need for a standard clinical lab screening?,11,0.4779,718.0,245
What documents do I need for a standard clinical lab screening?,11,0.4682,841.0,288
Can I book an inpatient clinical appointment online?,8,0.4611,990.0,150
Can I book an inpatient clinical appointment online?,8,0.4077,725.0,232
How long does it take to process outpatient laboratory results?,10,0.3755,718.0,154
What documents do I need for a standard clinical lab screening?,11,0.4161,834.0,242
How long does it take to process outpatient laboratory results?,10,0.4338,883.0,211
What documents do I need for a standard clinical lab screening?,11,0.4207,945.0,211
Can I book an inpatient clinical appointment online?,8,0.4068,1072.0,170
What documents do I need for a standard clinical lab screening?,11,0.4513,714.0,274
What documents do I need for a standard clinical lab screening?,11,0.3665,848.0,286
What documents do I need for a standard clinical lab screening?,11,0.4088,871.0,182
Can I book an inpatient clinical appointment online?,8,0.4437,793.0,271
Can I book an inpatient clinical appointment online?,8,0.3777,649.0,192
How long does it take to process outpatient laboratory results?,10,0.3977,886.0,285
Can I book an inpatient clinical appointment online?,8,0.4307,675.0,258
What documents do I need for a standard clinical lab screening?,11,0.4287,839.0,288
Can I book an inpatient clinical appointment online?,8,0.3758,815.0,201
Can I book an inpatient clinical appointment online?,8,0.4229,686.0,229
How long does it take to process outpatient laboratory results?,10,0.4379,856.0,245
How long does it take to process outpatient laboratory results?,10,0.4742,905.0,282
How long does it take to process outpatient laboratory results?,10,0.3511,706.0,180
What documents do I need for a standard clinical lab screening?,11,0.4458,851.0,207
What documents do I need for a standard clinical lab screening?,11,0.4458,1185.0,236
What documents do I need for a standard clinical lab screening?,11,0.4485,914.0,300
Can I book an inpatient clinical appointment online?,8,0.4677,865.0,208
Can I book an inpatient clinical appointment online?,8,0.4042,876.0,206
What documents do I need for a standard clinical lab screening?,11,0.3814,776.0,168
Can I book an inpatient clinical appointment online?,8,0.3957,808.0,165
What documents do I need for a standard clinical lab screening?,11,0.5357,613.0,167
What documents do I need for a standard clinical lab screening?,11,0.4543,639.0,234
What documents do I need for a standard clinical lab screening?,11,0.3964,909.0,281
What documents do I need for a standard clinical lab screening?,11,0.4232,692.0,221
Can I book an inpatient clinical appointment online?,8,0.3842,868.0,274
What documents do I need for a standard clinical lab screening?,11,0.3835,822.0,288
What documents do I need for a standard clinical lab screening?,11,0.4223,735.0,296
Can I book an inpatient clinical appointment online?,8,0.5272,863.0,271
What documents do I need for a standard clinical lab screening?,11,0.3187,819.0,271
How long does it take to process outpatient laboratory results?,10,0.3869,885.0,198
What documents do I need for a standard clinical lab screening?,11,0.3804,789.0,174
Can I book an inpatient clinical appointment online?,8,0.4452,887.0,260
How long does it take to process outpatient laboratory results?,10,0.36,767.0,258
How long does it take to process outpatient laboratory results?,10,0.3963,735.0,269
Can I book an inpatient clinical appointment online?,8,0.5083,840.0,163
Can I book an inpatient clinical appointment online?,8,0.357,892.0,175
What documents do I need for a standard clinical lab screening?,11,0.5261,903.0,253
Can I book an inpatient clinical appointment online?,8,0.344,752.0,236
What documents do I need for a standard clinical lab screening?,11,0.4833,729.0,213
What documents do I need for a standard clinical lab screening?,11,0.4422,877.0,198
Can I book an inpatient clinical appointment online?,8,0.3737,794.0,264
What documents do I need for a standard clinical lab screening?,11,0.2579,698.0,258
What documents do I need for a standard clinical lab screening?,11,0.4074,675.0,221
How long does it take to process outpatient laboratory results?,10,0.5016,657.0,213
What documents do I need for a standard clinical lab screening?,11,0.398,813.0,263
Can I book an inpatient clinical appointment online?,8,0.4921,656.0,175
What documents do I need for a standard clinical lab screening?,11,0.4782,801.0,288
What documents do I need for a standard clinical lab screening?,11,0.3709,846.0,173
What documents do I need for a standard clinical lab screening?,11,0.43,740.0,192
How long does it take to process outpatient laboratory results?,10,0.4235,761.0,274
How long does it take to process outpatient laboratory results?,10,0.4257,866.0,204
How long does it take to process outpatient laboratory results?,10,0.4993,676.0,165
What documents do I need for a standard clinical lab screening?,11,0.5267,605.0,247
What documents do I need for a standard clinical lab screening?,11,0.4124,859.0,249
How long does it take to process outpatient laboratory results?,10,0.434,738.0,266
How long does it take to process outpatient laboratory results?,10,0.4096,751.0,258
Can I book an inpatient clinical appointment online?,8,0.3905,885.0,292
Can I book an inpatient clinical appointment online?,8,0.4379,731.0,274
What documents do I need for a standard clinical lab screening?,11,0.465,831.0,198
How long does it take to process outpatient laboratory results?,10,0.4606,863.0,205
What documents do I need for a standard clinical lab screening?,11,0.3786,744.0,298
Can I book an inpatient clinical appointment online?,8,0.4574,861.0,288
What documents do I need for a standard clinical lab screening?,11,0.419,812.0,230
What documents do I need for a standard clinical lab screening?,11,0.4839,741.0,162
Can I book an inpatient clinical appointment online?,8,0.4474,780.0,272
Can I book an inpatient clinical appointment online?,8,0.4091,910.0,285
What documents do I need for a standard clinical lab screening?,11,0.4613,881.0,164
Can I book an inpatient clinical appointment online?,8,0.4853,802.0,170
What documents do I need for a standard clinical lab screening?,11,0.4541,769.0,167
Can I book an inpatient clinical appointment online?,8,0.4362,787.0,167
Can I book an inpatient clinical appointment online?,8,0.4248,860.0,210
How long does it take to process outpatient laboratory results?,10,0.3791,1009.0,180
Can I book an inpatient clinical appointment online?,8,0.3697,679.0,213
Can I book an inpatient clinical appointment online?,8,0.4779,879.0,160
Can I book an inpatient clinical appointment online?,8,0.4512,863.0,170
How long does it take to process outpatient laboratory results?,10,0.4194,710.0,299
Can I book an inpatient clinical appointment online?,8,0.4238,732.0,283
How long does it take to process outpatient laboratory results?,10,0.4688,785.0,216
What documents do I need for a standard clinical lab screening?,11,0.3787,768.0,230
What documents do I need for a standard clinical lab screening?,11,0.4406,744.0,217
How long does it take to process outpatient laboratory results?,10,0.3789,824.0,183
Can I book an inpatient clinical appointment online?,8,0.4322,749.0,226
How long does it take to process outpatient laboratory results?,10,0.3964,823.0,230
What documents do I need for a standard clinical lab screening?,11,0.3476,659.0,152
How long does it take to process outpatient laboratory results?,10,0.3841,779.0,294
What documents do I need for a standard clinical lab screening?,11,0.4355,948.0,168
Can I book an inpatient clinical appointment online?,8,0.4629,784.0,204
Can I book an inpatient clinical appointment online?,8,0.419,700.0,217
What documents do I need for a standard clinical lab screening?,11,0.4191,771.0,239
What documents do I need for a standard clinical lab screening?,11,0.4361,717.0,212
How long does it take to process outpatient laboratory results?,10,0.446,953.0,222
What documents do I need for a standard clinical lab screening?,11,0.4146,840.0,262
Can I book an inpatient clinical appointment online?,8,0.4545,760.0,227
Can I book an inpatient clinical appointment online?,8,0.4312,801.0,285
What documents do I need for a standard clinical lab screening?,11,0.4249,723.0,291
How long does it take to process outpatient laboratory results?,10,0.4212,850.0,176
What documents do I need for a standard clinical lab screening?,11,0.4926,896.0,217
What documents do I need for a standard clinical lab screening?,11,0.5277,723.0,177
Can I book an inpatient clinical appointment online?,8,0.4636,818.0,291
What documents do I need for a standard clinical lab screening?,11,0.5295,719.0,219
How long does it take to process outpatient laboratory results?,10,0.378,740.0,203
Can I book an inpatient clinical appointment online?,8,0.3138,747.0,237
What documents do I need for a standard clinical lab screening?,11,0.382,815.0,217
Can I book an inpatient clinical appointment online?,8,0.4371,988.0,275
How long does it take to process outpatient laboratory results?,10,0.4675,742.0,163
What documents do I need for a standard clinical lab screening?,11,0.3751,849.0,258
How long does it take to process outpatient laboratory results?,10,0.354,983.0,161
What documents do I need for a standard clinical lab screening?,11,0.479,753.0,235
What documents do I need for a standard clinical lab screening?,11,0.3343,935.0,217
What documents do I need for a standard clinical lab screening?,11,0.4143,924.0,263
